#PaymentID|TraineeID|ProgramID|Amount|DateTime|ReceivedBy
R001|U004|P001|120.00|2026-01-10 10:20|U002
R002|U005|P001|120.00|2026-01-15 09:40|U002
R003|U006|P001|120.00|2026-02-05 11:10|U002
R004|U007|P001|120.00|2026-02-15 14:30|U002
R005|U008|P002|150.00|2026-02-18 16:20|U002
R006|U009|P002|150.00|2026-02-20 18:10|U002
R007|U010|P002|150.00|2026-03-02 13:00|U002
R008|U011|P003|30.00|2026-03-05 09:30|U002
R009|U012|P003|30.00|2026-03-08 12:40|U002
R010|U013|P003|30.00|2026-03-15 17:00|U002
R011|U014|P001|120.00|2026-03-20 10:10|U002
R012|U015|P002|150.00|2026-03-22 15:20|U002
R013|U016|P003|30.00|2026-03-25 16:40|U002
R014|U017|P001|120.00|2026-03-28 11:10|U002
R015|U018|P002|150.00|2026-04-02 10:00|U002
R016|U019|P002|50.00|2026-03-16 23:01|U002
